Stations,Lat,Lon,dem,twi
TOQUELA,-17.43,-70.5,1635,4.8
LOCUMBA,-17.61,-70.8,947,7.1
SUSAPAYA,-17.35,-70.1,3750,6.1
TARATA,-17.48,-70,4104,5.5
SITAJARA,-17.37,-70.2,2915,5.3
SAMA GRANDE,-17.78,-70.5,602,6.4
TALABAYA,-17.55,-70,3488,5.7
JORGE BASADRE,-18.03,-70.3,596,10.3
PUNTA COLES,-17.7,-71.4,0,11.4
MOQUEGUA,-17.18,-70.9,1565,11.3
ILO,-17.63,-71.3,210,10.1
UBINAS,-16.38,-70.9,4097,10.7
ICHUMA,-16.13,-70.6,4284,4.3
CALACOA,-16.73,-70.7,3407,3.7
QUINISTAQUILLAS,-16.77,-70.9,1605,7.2
SAN RAMON,-5.93,-76.1,135,9.5
SHANUSI,-6.1,-76.3,161,8.1
PONGO DE CAYNARACHI,-6.33,-76.3,227,7.1
PELEJO,-6.21,-75.8,140,12.1
PUCALLPA-HUIMBAYOC,-6.4,-75.8,153,8.0
CHAZUTA,-6.58,-76.1,266,4.5
NARANJILLO,-5.83,-77.4,910,13.0
JEPELACIO,-6.11,-76.9,1142,9.2
SORITOR,-6.14,-77.1,889,9.8
TABALOSOS,-6.42,-76.7,1345,4.5
SAN ANTONIO,-6.42,-76.4,408,6.9
LAMAS,-6.38,-76.6,283,11.9
CUNUMBUQUE,-6.5,-76.5,280,8.8
EL PORVENIR,-6.58,-76.3,211,4.7
SAUCE,-6.69,-76.2,617,8.6
PILLUANA,-6.8,-76.3,239,7.6
PICOTA,-6.93,-76.3,217,11.9
ALAO,-6.52,-76.8,774,6.1
SAPOSOA,-6.9,-76.8,314,9.4
SAN PABLO,-6.8,-76.6,295,6.0
NUEVO LIMA,-7.12,-76.5,241,11.6
TALLA (GUADALUPE),-7.27,-79.4,145,7.8
LIVES,-7.08,-79,1758,7.3
CHILETE,-7.22,-78.8,1037,4.4
ASUNCION,-7.32,-78.5,2297,10.2
LAMBAYEQUE,-6.7,-79.9,16,10.1
PUCHACA,-6.37,-79.5,470,6.3
JAYANCA (LA VIÑA),-6.33,-79.8,72,15.6
TOCMOCHE,-6.41,-79.4,1233,4.6
LLAMA,-6.51,-79.1,2379,5.1
CHANCAY BAOOS,-6.57,-78.9,1625,5.5
CHUGUR,-6.67,-78.7,3289,9.4
REQUE,-6.89,-79.8,38,11.1
UDIMA,-6.81,-79.1,2333,6.0
EL ESPINAL,-6.82,-79.2,356,10.2
CAYALTI,-6.9,-79.6,58,9.1
SIHUAS,-8.55,-77.6,3353,7.9
HACIENDA SHUMAYA,-5.37,-79.3,2706,5.1
TULUCE,-5.49,-79.4,1560,5.2
SONDORILLO,-5.34,-79.4,2010,6.4
HUARMACA,-5.57,-79.5,2661,4.9
PORCULLA,-5.84,-79.5,2031,13.2
SALLIQUE,-5.66,-79.3,2120,4.9
CHONTALI,-5.64,-79.1,1934,5.1
EL LIMON,-5.92,-79.3,1396,4.9
HACIENDA PUCARA,-6.04,-79.1,1409,4.4
QUEROCOTILLO,-6.27,-79,1514,7.0
CUEVA BLANCA,-6.16,-79.4,3577,6.8
CUTERVO,-6.38,-78.8,2776,4.7
COCHABAMBA,-6.46,-78.9,1833,6.0
TABACONAS,-5.33,-79.2,2288,4.6
CHIRINOS,-5.31,-78.9,1693,6.3
EL PINTOR,-5.76,-78.5,543,5.3
MAGUNCHAL,-5.89,-78.2,801,4.8
HUAMACHUCO,-7.82,-78,3190,12.4
AUGUSTO WEBERBAUER,-7.17,-78.5,2691,16.2
CACHACHI,-7.45,-78.3,3705,6.4
CAJABAMBA,-7.62,-78.1,2346,7.3
QUEBRADA SHUGAR,-6.69,-78.5,2832,5.8
MACHAGUAY,-15.65,-72.5,2956,6.0
AYO,-15.68,-72.3,2276,8.2
CHIVAY,-15.64,-71.6,3644,8.2
PULLHUAY (AYAHUASI) ,-15.13,-72.8,3321,6.9
CHACHAS,-15.5,-72.3,3165,4.7
ORCOPAMPA,-15.26,-72.3,4320,11.0
PORPERA,-15.35,-71.3,4256,5.2
CHOCO,-15.57,-72.1,3392,4.6
SIBAYO,-15.49,-71.5,4056,5.3
ANDAHUA,-15.49,-72.3,3553,7.7
MADRIGAL,-15.62,-71.8,3304,5.2
CRUCERO ALTO,-15.76,-70.9,4535,5.8
HUAMBO,-15.72,-72.1,3352,6.2
APLAO,-16.07,-72.5,976,5.7
PAMPA DE MAJES,-16.33,-72.2,1450,6.7
CHULUCANAS,-5.1,-80.2,83,8.7
SAN PEDRO ,-5.08,-80,658,5.0
MIRAFLORES,-5.17,-80.6,37,15.5
MORROPON,-5.18,-80,177,6.4
SAN MIGUEL,-5.24,-80.7,21,11.1
VIRREY,-5.53,-80,228,8.9
HACIENDA BIGOTE,-5.33,-79.8,393,8.6
BERNAL,-5.63,-80.7,4,8.6
CHUSIS,-5.52,-80.8,5,11.4
BRETAHA,-5.25,-74.3,100,8.2
JUANCITO,-6.03,-74.9,120,6.4
BAGAZAN,-4.71,-73.6,95,7.2
GENARO HERRERA,-4.87,-73.6,111,11.4
ISLA SUANA,-16.36,-68.8,3809,15.7
DOS DE MAYO (J. OLAYA),-7.41,-76.4,419,5.2
